@relation '212700L1_2final-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_odmowa_windykacja_sp:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
16,1124,0,500,'\'(67.6-inf)\'',K,135,48,zly
16,1389,2,200,'\'(55.2-67.6]\'',K,89,48,dobry
13,1291.18,3,381.29,'\'(67.6-inf)\'',K,77,48,dobry
16,763.38,2,200,'\'(55.2-67.6]\'',M,209,48,dobry
13,1370,2,900,'\'(55.2-67.6]\'',K,74,48,dobry
12,1700,0,900,'\'(-inf-30.4]\'',M,4,12,zly
11,2080,3,500,'\'(42.8-55.2]\'',M,316,48,dobry
98,3000,0,1500,'\'(55.2-67.6]\'',M,67,48,dobry
11,3000,3,300,'\'(55.2-67.6]\'',M,210,48,dobry
11,1373.34,0,200,'\'(-inf-30.4]\'',K,56,48,dobry
17,1200,3,200,'\'(-inf-30.4]\'',K,163,48,dobry
16,685,1,300,'\'(42.8-55.2]\'',K,39,48,dobry
13,850,2,400,'\'(55.2-67.6]\'',K,65,48,dobry
12,1700,3,400,'\'(42.8-55.2]\'',K,53,48,dobry
17,990,3,500,'\'(42.8-55.2]\'',K,70,48,dobry
11,2400,2,600,'\'(30.4-42.8]\'',K,111,48,dobry
12,1030,0,296.54,'\'(30.4-42.8]\'',M,3,23,zly
11,1900,2,903.23,'\'(30.4-42.8]\'',K,177,48,dobry
16,1600,1,500,'\'(55.2-67.6]\'',M,10,48,dobry
12,1447,3,500,'\'(-inf-30.4]\'',K,19,23,dobry
13,810,3,300,'\'(55.2-67.6]\'',K,31,48,dobry
11,2368.57,1,400,'\'(42.8-55.2]\'',K,408,48,dobry
11,1500,0,378,'\'(-inf-30.4]\'',K,22,48,dobry
12,1375.47,0,300,'\'(42.8-55.2]\'',M,4,8,dobry
11,4900,1,500,'\'(42.8-55.2]\'',K,9,48,dobry
13,1017,3,200,'\'(67.6-inf)\'',K,159,48,dobry
16,588,3,600,'\'(42.8-55.2]\'',M,420,48,dobry
12,1136.86,1,200,'\'(-inf-30.4]\'',M,9,23,zly
13,910,3,200,'\'(55.2-67.6]\'',K,67,48,dobry
98,600,0,200,'\'(-inf-30.4]\'',K,3,48,zly
12,1634,1,300,'\'(-inf-30.4]\'',K,10,10,dobry
11,2500,2,900,'\'(42.8-55.2]\'',M,202,48,dobry
16,1076.83,0,200,'\'(67.6-inf)\'',K,135,48,zly
13,1216,3,200,'\'(55.2-67.6]\'',K,139,48,dobry
13,1280,3,400,'\'(55.2-67.6]\'',K,15,48,dobry
11,1300,0,600,'\'(42.8-55.2]\'',K,66,48,dobry
11,2700,3,450,'\'(30.4-42.8]\'',M,13,48,dobry
13,1400,2,500,'\'(55.2-67.6]\'',K,52,48,dobry
11,2050,3,575.74,'\'(30.4-42.8]\'',M,116,48,dobry
16,1770,3,500,'\'(55.2-67.6]\'',M,87,48,dobry
12,1865,0,300,'\'(30.4-42.8]\'',K,18,21,dobry
11,1888.27,2,382.44,'\'(-inf-30.4]\'',M,75,48,dobry
12,1000,0,300,'\'(42.8-55.2]\'',M,41,48,dobry
11,1721.7,3,385.97,'\'(42.8-55.2]\'',K,118,48,dobry
13,1872,3,700,'\'(55.2-67.6]\'',K,33,48,dobry
11,2709.34,3,330.68,'\'(30.4-42.8]\'',K,179,48,dobry
13,1015,3,400,'\'(55.2-67.6]\'',K,107,48,dobry
12,984.34,2,200,'\'(42.8-55.2]\'',K,16,20,dobry
13,1239.98,0,300,'\'(67.6-inf)\'',K,253,48,dobry
13,1200.29,0,400,'\'(55.2-67.6]\'',K,20,48,dobry
11,1183,0,500,'\'(30.4-42.8]\'',K,15,48,zly
13,2113.24,2,200,'\'(55.2-67.6]\'',K,59,48,dobry
11,2700,3,600,'\'(-inf-30.4]\'',M,62,48,dobry
13,1454.91,2,400,'\'(55.2-67.6]\'',K,40,48,dobry
13,907,1,200,'\'(67.6-inf)\'',K,232,48,dobry
13,1457,2,300,'\'(67.6-inf)\'',M,77,48,zly
11,1300,0,400,'\'(42.8-55.2]\'',K,32,48,dobry
12,1963.88,2,400,'\'(42.8-55.2]\'',M,4,5,dobry
11,1800,3,500,'\'(42.8-55.2]\'',K,51,48,dobry
12,1356,0,500,'\'(42.8-55.2]\'',K,84,48,zly
11,1906.42,1,281.29,'\'(55.2-67.6]\'',K,210,48,dobry
11,1300,0,300,'\'(-inf-30.4]\'',K,21,48,zly
13,1900,3,500,'\'(55.2-67.6]\'',M,148,48,dobry
13,1050,3,600,'\'(55.2-67.6]\'',K,137,48,dobry
98,4000,3,498.26,'\'(30.4-42.8]\'',K,16,48,dobry
13,1820,3,900,'\'(55.2-67.6]\'',K,67,48,dobry
99,645.31,0,300,'\'(42.8-55.2]\'',K,9,11,zly
13,1399.99,1,300,'\'(55.2-67.6]\'',K,13,48,dobry
13,1085,3,400,'\'(55.2-67.6]\'',K,164,48,dobry
11,1730.13,1,400,'\'(55.2-67.6]\'',K,191,48,dobry
13,1650,0,300,'\'(55.2-67.6]\'',K,113,48,dobry
12,1457,0,300,'\'(30.4-42.8]\'',M,5,7,zly
11,1500,2,200,'\'(55.2-67.6]\'',M,393,48,dobry
11,1660,0,300,'\'(55.2-67.6]\'',M,48,48,dobry
13,722.05,2,200,'\'(67.6-inf)\'',K,195,48,dobry
11,2050,1,799.85,'\'(30.4-42.8]\'',K,27,48,dobry
12,988,0,200,'\'(42.8-55.2]\'',M,7,12,zly
12,1100,0,200,'\'(-inf-30.4]\'',M,31,48,dobry
11,1443,3,600,'\'(42.8-55.2]\'',K,31,48,dobry
17,728,3,200,'\'(-inf-30.4]\'',M,98,48,dobry
11,2100,0,300,'\'(42.8-55.2]\'',M,36,48,dobry
13,1503,2,400,'\'(55.2-67.6]\'',M,163,48,dobry
13,1362,3,500,'\'(55.2-67.6]\'',K,54,48,dobry
13,1244.77,3,300,'\'(55.2-67.6]\'',K,37,48,dobry
11,932.34,3,200,'\'(42.8-55.2]\'',K,393,48,dobry
11,901,2,300,'\'(-inf-30.4]\'',K,38,48,dobry
17,1100,1,200,'\'(55.2-67.6]\'',K,25,33,dobry
13,3040,3,667.26,'\'(55.2-67.6]\'',M,199,48,dobry
11,2700,3,500,'\'(30.4-42.8]\'',K,119,48,dobry
11,3100,3,500,'\'(30.4-42.8]\'',K,119,48,dobry
11,3217,1,299.97,'\'(42.8-55.2]\'',M,268,48,zly
13,1125,1,300,'\'(55.2-67.6]\'',K,123,48,dobry
13,2110,3,300,'\'(55.2-67.6]\'',M,99,48,dobry
13,865,3,300,'\'(67.6-inf)\'',K,126,48,dobry
12,1300,2,300,'\'(-inf-30.4]\'',K,6,12,dobry
16,1362,3,400,'\'(42.8-55.2]\'',K,27,48,dobry
12,1500,2,300,'\'(-inf-30.4]\'',K,2,2,dobry
13,1668,3,392.14,'\'(55.2-67.6]\'',K,89,48,dobry
11,983.97,1,200,'\'(55.2-67.6]\'',K,76,48,dobry
12,980,3,200,'\'(30.4-42.8]\'',K,8,10,dobry
11,1700,2,500,'\'(30.4-42.8]\'',K,195,48,dobry
13,2015.55,1,600,'\'(67.6-inf)\'',M,109,48,zly
13,1217,0,200,'\'(55.2-67.6]\'',M,49,48,dobry
13,819,1,200,'\'(55.2-67.6]\'',M,55,48,dobry
16,650.77,0,200,'\'(55.2-67.6]\'',M,46,48,zly
12,2673.17,3,600,'\'(42.8-55.2]\'',M,110,48,dobry
13,1107,1,231.29,'\'(55.2-67.6]\'',K,13,48,dobry
13,2291,0,1000,'\'(67.6-inf)\'',K,69,48,dobry
13,1400,3,600,'\'(55.2-67.6]\'',K,244,48,dobry
16,634.64,2,300,'\'(55.2-67.6]\'',K,134,48,dobry
98,911,3,300,'\'(42.8-55.2]\'',K,96,48,dobry
11,992.84,3,300,'\'(42.8-55.2]\'',K,119,48,dobry
11,1000,3,300,'\'(-inf-30.4]\'',M,55,48,dobry
13,2000,3,450,'\'(67.6-inf)\'',M,43,48,dobry
13,1180,0,300,'\'(67.6-inf)\'',M,138,48,dobry
13,1175,1,400,'\'(55.2-67.6]\'',K,113,48,zly
11,2100,2,500,'\'(55.2-67.6]\'',M,185,48,dobry
12,1382,2,200,'\'(30.4-42.8]\'',K,19,23,dobry
16,1072.89,3,300,'\'(42.8-55.2]\'',K,120,48,dobry
11,1037.34,3,200,'\'(30.4-42.8]\'',K,60,48,dobry
98,2200,3,300,'\'(42.8-55.2]\'',K,23,48,dobry
11,1896.86,0,500,'\'(55.2-67.6]\'',M,136,48,zly
11,1493.98,2,200,'\'(42.8-55.2]\'',K,359,48,dobry
13,1062,0,400,'\'(55.2-67.6]\'',K,160,48,zly
11,2670,3,1000,'\'(55.2-67.6]\'',K,86,48,dobry
99,1100,0,200,'\'(42.8-55.2]\'',K,49,48,dobry
13,1500,3,376.37,'\'(55.2-67.6]\'',M,21,48,dobry
13,3100,0,600,'\'(55.2-67.6]\'',M,136,48,zly
98,690,0,200,'\'(-inf-30.4]\'',M,6,48,zly
11,1344.9,2,246.83,'\'(42.8-55.2]\'',K,44,48,dobry
98,583,0,300,'\'(55.2-67.6]\'',M,111,48,zly
16,1045,2,200,'\'(42.8-55.2]\'',M,197,48,dobry
13,720,0,500,'\'(55.2-67.6]\'',K,230,48,dobry
13,1016,1,250,'\'(67.6-inf)\'',K,187,48,dobry
12,1032.34,3,200,'\'(30.4-42.8]\'',K,3,11,dobry
11,967.64,2,200,'\'(42.8-55.2]\'',K,317,48,dobry
11,1800,2,600,'\'(30.4-42.8]\'',K,50,48,dobry
13,580,3,800,'\'(55.2-67.6]\'',K,117,48,dobry
12,1224,0,400,'\'(-inf-30.4]\'',M,3,3,zly
11,3619,0,300,'\'(30.4-42.8]\'',M,39,48,zly
16,436,0,200,'\'(-inf-30.4]\'',K,12,48,zly
12,1032,3,296.54,'\'(42.8-55.2]\'',K,36,40,dobry
11,1577.42,0,400,'\'(42.8-55.2]\'',K,203,48,dobry
16,1411,0,400,'\'(55.2-67.6]\'',K,64,48,dobry
11,1460.17,0,200,'\'(42.8-55.2]\'',M,59,48,dobry
11,2250.05,1,500,'\'(55.2-67.6]\'',M,174,48,dobry
13,2066,3,700,'\'(55.2-67.6]\'',K,127,48,dobry
11,3200,3,600,'\'(42.8-55.2]\'',K,52,48,dobry
13,1658,3,300,'\'(55.2-67.6]\'',K,27,48,dobry
11,1400,3,300,'\'(42.8-55.2]\'',K,159,48,dobry
11,980.11,0,400,'\'(30.4-42.8]\'',K,43,48,dobry
13,1900,3,500,'\'(55.2-67.6]\'',K,86,48,dobry
16,980,3,400,'\'(67.6-inf)\'',K,129,48,dobry
12,1138,0,300,'\'(-inf-30.4]\'',M,0,23,zly
12,1540,0,600,'\'(30.4-42.8]\'',K,37,39,dobry
12,1100,3,235.97,'\'(55.2-67.6]\'',M,20,35,dobry
16,2600,0,200,'\'(67.6-inf)\'',M,439,48,zly
11,3335,3,600,'\'(55.2-67.6]\'',M,431,48,dobry
13,815,0,400,'\'(55.2-67.6]\'',K,142,48,dobry
13,1185.33,3,200,'\'(67.6-inf)\'',K,222,48,dobry
12,1210,0,200,'\'(42.8-55.2]\'',M,5,9,dobry
16,749.28,3,200,'\'(42.8-55.2]\'',K,63,48,dobry
98,583,0,1000,'\'(42.8-55.2]\'',M,135,48,zly
13,930,0,670,'\'(55.2-67.6]\'',K,92,48,dobry
16,1528,1,300,'\'(55.2-67.6]\'',M,373,48,zly
17,547.89,0,350,'\'(55.2-67.6]\'',K,54,48,dobry
13,1426,3,300,'\'(67.6-inf)\'',M,75,48,dobry
13,1031,1,200,'\'(55.2-67.6]\'',K,119,48,dobry
13,840,1,400,'\'(55.2-67.6]\'',K,111,48,dobry
12,670,3,300,'\'(42.8-55.2]\'',M,7,11,dobry
13,3700,3,800,'\'(55.2-67.6]\'',K,25,48,dobry
13,1100,0,300,'\'(55.2-67.6]\'',K,103,48,dobry
16,1473.04,0,400,'\'(55.2-67.6]\'',M,164,48,dobry
13,1519,0,350,'\'(67.6-inf)\'',M,252,48,dobry
12,599.03,2,200,'\'(30.4-42.8]\'',K,18,18,dobry
98,980,2,200,'\'(55.2-67.6]\'',K,8,48,dobry
13,1026,3,200,'\'(67.6-inf)\'',K,246,48,dobry
13,975,3,218.32,'\'(55.2-67.6]\'',K,26,48,dobry
11,2947,3,393.99,'\'(55.2-67.6]\'',M,52,48,dobry
11,3200,0,1000,'\'(-inf-30.4]\'',M,2,48,zly
11,1900,3,694,'\'(30.4-42.8]\'',K,206,48,dobry
13,2100,0,300,'\'(67.6-inf)\'',K,159,48,dobry
12,1500,0,800,'\'(30.4-42.8]\'',M,31,35,dobry
16,1151,0,300,'\'(55.2-67.6]\'',M,359,48,dobry
11,1770,3,277.34,'\'(30.4-42.8]\'',K,85,48,dobry
13,1977,1,700,'\'(55.2-67.6]\'',K,53,48,dobry
13,1287.66,2,200,'\'(55.2-67.6]\'',M,95,48,dobry
11,900,3,300,'\'(42.8-55.2]\'',K,92,48,dobry
11,2251.79,0,500,'\'(55.2-67.6]\'',K,254,48,zly
13,960,3,300,'\'(67.6-inf)\'',M,138,48,dobry
13,1413,0,400,'\'(67.6-inf)\'',K,164,48,zly
12,1800,0,300,'\'(-inf-30.4]\'',M,34,48,zly
13,1083.23,1,200,'\'(55.2-67.6]\'',K,96,48,dobry
13,3440,3,800,'\'(42.8-55.2]\'',K,50,48,dobry
98,3178,3,427.09,'\'(42.8-55.2]\'',M,200,48,dobry
13,1772.53,0,400,'\'(67.6-inf)\'',M,279,48,dobry
13,803.86,3,200,'\'(67.6-inf)\'',K,156,48,dobry
13,1026,3,300,'\'(55.2-67.6]\'',K,53,48,dobry
13,1014,1,297.69,'\'(55.2-67.6]\'',K,181,48,dobry
13,1193.65,2,400,'\'(55.2-67.6]\'',M,8,48,dobry
98,1200,3,285.97,'\'(30.4-42.8]\'',K,44,48,dobry
12,1000,3,328.32,'\'(42.8-55.2]\'',K,31,34,dobry
12,1000,3,328,'\'(55.2-67.6]\'',M,11,14,dobry
11,1400,3,200,'\'(42.8-55.2]\'',K,115,48,dobry
12,1286,0,200,'\'(-inf-30.4]\'',M,0,2,zly
12,1300,3,600,'\'(-inf-30.4]\'',M,26,41,dobry
17,798.8,3,300,'\'(42.8-55.2]\'',M,147,48,dobry
13,917,1,300,'\'(55.2-67.6]\'',K,75,48,dobry
11,1087,2,377.69,'\'(30.4-42.8]\'',K,237,48,dobry
11,2470,0,500,'\'(30.4-42.8]\'',M,64,48,dobry
13,1538,3,200,'\'(55.2-67.6]\'',M,99,48,dobry
11,1300,3,300,'\'(30.4-42.8]\'',M,44,48,dobry
13,1635,3,200,'\'(55.2-67.6]\'',K,118,48,dobry
99,2290.55,0,300,'\'(30.4-42.8]\'',K,17,20,dobry
11,1386,0,600,'\'(30.4-42.8]\'',M,15,48,zly
13,1167.94,0,200,'\'(67.6-inf)\'',K,368,48,dobry
13,1233,2,400,'\'(55.2-67.6]\'',K,122,48,dobry
13,1530,0,500,'\'(55.2-67.6]\'',M,33,48,dobry
11,2983,0,800,'\'(30.4-42.8]\'',M,86,48,zly
16,1313.41,3,400,'\'(55.2-67.6]\'',M,26,48,dobry
13,3900,0,300,'\'(55.2-67.6]\'',M,113,48,dobry
13,1525.46,3,521.49,'\'(55.2-67.6]\'',K,35,48,dobry
13,1162,3,200,'\'(55.2-67.6]\'',M,220,48,dobry
99,685,3,250,'\'(55.2-67.6]\'',M,4,4,zly
13,1200,3,500,'\'(67.6-inf)\'',K,117,48,dobry
16,634,2,200,'\'(55.2-67.6]\'',K,50,48,dobry
16,2300,4,800,'\'(42.8-55.2]\'',K,61,48,dobry
12,1027,3,300,'\'(30.4-42.8]\'',K,7,48,dobry
13,5100,3,262.81,'\'(55.2-67.6]\'',K,27,48,dobry
11,2800,3,400,'\'(42.8-55.2]\'',K,58,48,dobry
11,3000,3,500,'\'(42.8-55.2]\'',K,92,48,dobry
13,714,4,500,'\'(55.2-67.6]\'',K,221,48,dobry
11,2875.71,3,1100,'\'(30.4-42.8]\'',M,277,48,dobry
13,2120,3,600,'\'(67.6-inf)\'',K,117,48,dobry
13,1013.74,3,400,'\'(55.2-67.6]\'',K,112,48,dobry
13,984,2,200,'\'(55.2-67.6]\'',K,9,48,dobry
13,1425,1,400,'\'(55.2-67.6]\'',K,78,48,dobry
13,720.19,1,200,'\'(55.2-67.6]\'',K,92,48,dobry
12,1350,3,281.29,'\'(42.8-55.2]\'',K,21,24,dobry
13,951,3,500,'\'(67.6-inf)\'',K,161,48,dobry
98,2000,0,300,'\'(30.4-42.8]\'',M,13,48,dobry
11,1500,2,400,'\'(55.2-67.6]\'',K,84,48,dobry
11,2200,0,700,'\'(30.4-42.8]\'',K,36,48,dobry
13,866.46,0,200,'\'(67.6-inf)\'',K,194,48,dobry
11,1400,0,473,'\'(30.4-42.8]\'',K,100,48,dobry
13,1313,0,300,'\'(55.2-67.6]\'',K,36,48,zly
16,540,0,300,'\'(-inf-30.4]\'',K,13,48,zly
11,2100,0,300,'\'(30.4-42.8]\'',M,63,48,dobry
12,1800,3,700,'\'(-inf-30.4]\'',M,9,9,dobry
12,1009.34,2,300,'\'(42.8-55.2]\'',K,28,48,dobry
12,1042,0,300,'\'(42.8-55.2]\'',M,4,4,dobry
11,979.34,0,300,'\'(30.4-42.8]\'',M,187,48,zly
13,1428.55,3,200,'\'(55.2-67.6]\'',K,136,48,dobry
13,1000,0,300,'\'(67.6-inf)\'',K,63,48,dobry
12,660,3,400,'\'(30.4-42.8]\'',K,10,37,dobry
13,616,3,200,'\'(67.6-inf)\'',K,245,48,dobry
11,1600,3,496.83,'\'(30.4-42.8]\'',K,13,48,dobry
13,1611,1,300,'\'(55.2-67.6]\'',M,140,48,dobry
13,1684,3,367.31,'\'(55.2-67.6]\'',K,18,48,dobry
13,1500,3,200,'\'(55.2-67.6]\'',K,45,48,dobry
13,974,0,200,'\'(42.8-55.2]\'',M,82,48,zly
16,1740,0,200,'\'(42.8-55.2]\'',K,112,48,dobry
11,1037,0,500,'\'(42.8-55.2]\'',K,39,48,zly
11,3170,3,400,'\'(42.8-55.2]\'',K,284,48,dobry
13,930,4,700,'\'(55.2-67.6]\'',K,129,48,dobry
12,1574.45,2,426.66,'\'(42.8-55.2]\'',M,30,35,dobry
13,640,0,500,'\'(67.6-inf)\'',K,137,48,dobry
13,1474.55,2,400,'\'(55.2-67.6]\'',K,64,48,dobry
12,830.46,2,600,'\'(42.8-55.2]\'',K,44,48,dobry
11,1261.98,3,357.31,'\'(30.4-42.8]\'',M,35,48,dobry
13,1189,3,265.58,'\'(55.2-67.6]\'',K,68,48,dobry
16,837,2,350,'\'(55.2-67.6]\'',M,230,48,dobry
17,684,3,900,'\'(55.2-67.6]\'',K,188,48,dobry
13,965,3,200,'\'(67.6-inf)\'',K,244,48,dobry
16,703,3,200,'\'(55.2-67.6]\'',K,24,48,dobry
99,750,3,200,'\'(-inf-30.4]\'',M,3,5,dobry
12,1675,3,600,'\'(42.8-55.2]\'',K,8,11,dobry
16,1045.6,4,400,'\'(42.8-55.2]\'',K,11,48,dobry
13,1137.19,3,400,'\'(55.2-67.6]\'',K,95,48,dobry
12,1200,3,300,'\'(30.4-42.8]\'',K,7,14,dobry
12,990.34,2,200,'\'(42.8-55.2]\'',K,54,48,dobry
11,2065.98,3,327,'\'(42.8-55.2]\'',K,178,48,dobry
11,800.51,0,400,'\'(30.4-42.8]\'',K,18,48,dobry
11,5800,3,1000,'\'(42.8-55.2]\'',K,53,48,dobry
13,1817.24,2,400,'\'(55.2-67.6]\'',K,17,48,dobry
13,1239,3,300,'\'(67.6-inf)\'',K,269,48,dobry
12,1400,2,300,'\'(-inf-30.4]\'',M,11,32,dobry
16,763.38,3,200,'\'(55.2-67.6]\'',M,210,48,dobry
13,997,3,300,'\'(55.2-67.6]\'',K,78,48,dobry
13,1801.41,0,515.96,'\'(55.2-67.6]\'',K,36,48,dobry
12,1030,3,241.15,'\'(42.8-55.2]\'',M,7,24,zly
13,3600,2,1000,'\'(55.2-67.6]\'',M,85,48,dobry
11,1800,3,300,'\'(30.4-42.8]\'',M,164,48,dobry
11,1400,0,300,'\'(-inf-30.4]\'',M,23,48,dobry
11,2100,2,300,'\'(42.8-55.2]\'',M,49,48,dobry
13,1212,3,500,'\'(55.2-67.6]\'',K,52,48,dobry
13,2098,3,700,'\'(67.6-inf)\'',M,196,48,dobry
12,600,4,400,'\'(42.8-55.2]\'',M,8,27,dobry
11,1400,3,200,'\'(42.8-55.2]\'',M,13,48,dobry
11,3200,3,662.81,'\'(42.8-55.2]\'',M,188,48,dobry
13,1000,3,500,'\'(55.2-67.6]\'',K,66,48,dobry
13,730,2,200,'\'(67.6-inf)\'',K,559,48,dobry
13,802.83,3,200,'\'(55.2-67.6]\'',K,200,48,dobry
13,3541.9,1,369.53,'\'(67.6-inf)\'',K,126,48,dobry
11,1290,3,600,'\'(30.4-42.8]\'',K,18,48,dobry
11,3000,4,300,'\'(55.2-67.6]\'',M,211,48,dobry
11,2284.23,1,400,'\'(42.8-55.2]\'',M,298,48,dobry
16,959.6,3,200,'\'(67.6-inf)\'',K,114,48,dobry
11,1680,3,300,'\'(55.2-67.6]\'',K,384,48,dobry
11,1250,0,500,'\'(55.2-67.6]\'',M,64,48,dobry
16,425,0,200,'\'(55.2-67.6]\'',K,160,48,zly
11,1000,3,800,'\'(55.2-67.6]\'',M,62,48,dobry
11,1700,3,600,'\'(42.8-55.2]\'',K,88,48,dobry
16,892,2,409.15,'\'(55.2-67.6]\'',K,199,48,dobry
12,1050,2,294.37,'\'(42.8-55.2]\'',K,32,36,dobry
13,1130,3,300,'\'(55.2-67.6]\'',K,102,48,dobry
11,1172.2,3,300.4,'\'(55.2-67.6]\'',K,36,48,dobry
98,5000,2,600,'\'(30.4-42.8]\'',K,83,48,dobry
11,1700,3,300,'\'(42.8-55.2]\'',M,38,48,dobry
13,611,2,300,'\'(55.2-67.6]\'',K,138,48,dobry
11,1320,3,500,'\'(42.8-55.2]\'',M,341,48,dobry
11,2470,4,426.61,'\'(42.8-55.2]\'',K,353,48,dobry
13,12220,2,200,'\'(55.2-67.6]\'',M,70,48,dobry
11,4000,4,400,'\'(42.8-55.2]\'',M,9,48,dobry
13,686.16,0,200,'\'(67.6-inf)\'',K,76,48,zly
16,1132,0,300,'\'(55.2-67.6]\'',K,96,48,dobry
17,985,4,200,'\'(-inf-30.4]\'',M,12,13,dobry
13,2010,2,717.02,'\'(55.2-67.6]\'',M,137,48,dobry
11,2800,3,600,'\'(42.8-55.2]\'',K,317,48,dobry
13,729.03,4,500,'\'(67.6-inf)\'',K,256,48,dobry
12,1500,0,1130.33,'\'(42.8-55.2]\'',K,13,26,zly
12,700,3,250,'\'(30.4-42.8]\'',M,8,23,zly
99,1393.85,2,200,'\'(-inf-30.4]\'',M,3,4,dobry
13,860,0,789.27,'\'(55.2-67.6]\'',K,79,48,dobry
11,1085.97,0,600,'\'(-inf-30.4]\'',M,1,48,zly
13,1688.82,2,300,'\'(42.8-55.2]\'',M,98,48,dobry
11,1617.68,2,200,'\'(42.8-55.2]\'',K,84,48,dobry
13,2100,3,1000,'\'(67.6-inf)\'',K,54,48,dobry
11,1058,0,300,'\'(30.4-42.8]\'',M,13,48,dobry
13,1700,3,500,'\'(67.6-inf)\'',M,13,48,dobry
11,2927,2,454,'\'(30.4-42.8]\'',K,200,48,dobry
11,2200,0,500,'\'(30.4-42.8]\'',M,84,48,dobry
11,1459,1,300,'\'(-inf-30.4]\'',M,8,48,dobry
13,936,1,500,'\'(55.2-67.6]\'',K,30,48,dobry
13,2612,2,2500,'\'(67.6-inf)\'',M,80,48,dobry
13,1090.14,3,400,'\'(55.2-67.6]\'',K,74,48,dobry
16,1600,2,200,'\'(55.2-67.6]\'',M,10,48,dobry
13,1026,4,200,'\'(67.6-inf)\'',K,246,48,dobry
11,2011,0,416.61,'\'(42.8-55.2]\'',M,210,48,dobry
16,588,0,600,'\'(42.8-55.2]\'',M,421,48,dobry
13,1240,0,300,'\'(55.2-67.6]\'',K,69,48,dobry
13,1170,2,400,'\'(55.2-67.6]\'',K,77,48,dobry
11,1077.49,3,300,'\'(42.8-55.2]\'',K,370,48,dobry
12,1100,0,200,'\'(-inf-30.4]\'',K,14,17,dobry
16,685,0,200,'\'(42.8-55.2]\'',K,40,48,dobry
13,3900,4,300,'\'(42.8-55.2]\'',M,29,48,dobry
13,1350,2,300,'\'(55.2-67.6]\'',K,110,48,dobry
12,1952.35,3,387.31,'\'(42.8-55.2]\'',M,3,11,dobry
11,1300,0,200,'\'(42.8-55.2]\'',M,451,48,dobry
11,2258,4,1000,'\'(30.4-42.8]\'',M,74,48,dobry
11,1842.86,2,400,'\'(55.2-67.6]\'',M,6,48,dobry
16,1589,0,250,'\'(55.2-67.6]\'',K,26,48,dobry
11,1000,3,275.97,'\'(30.4-42.8]\'',K,60,48,dobry
12,1000,4,200,'\'(-inf-30.4]\'',M,11,24,dobry
13,1217,0,600,'\'(55.2-67.6]\'',M,49,48,dobry
12,1030,0,200,'\'(42.8-55.2]\'',M,8,48,dobry
13,1134.96,0,200,'\'(67.6-inf)\'',K,160,48,dobry
13,697,0,300,'\'(55.2-67.6]\'',K,124,48,zly
16,1389,3,200,'\'(55.2-67.6]\'',K,90,48,dobry
12,1375.47,1,300,'\'(42.8-55.2]\'',M,5,8,dobry
13,2051,0,500,'\'(55.2-67.6]\'',K,137,48,dobry
13,1291.18,4,378.91,'\'(67.6-inf)\'',K,78,48,dobry
13,1691.3,0,500,'\'(55.2-67.6]\'',K,72,48,dobry
17,1031,2,350,'\'(42.8-55.2]\'',K,50,48,zly
11,1680,4,586.65,'\'(55.2-67.6]\'',K,69,48,dobry
13,910.33,3,200,'\'(67.6-inf)\'',M,162,48,dobry
11,2353,3,1569.98,'\'(42.8-55.2]\'',M,98,48,dobry
12,2500,2,800,'\'(55.2-67.6]\'',M,3,4,dobry
11,1077,0,200,'\'(42.8-55.2]\'',K,182,48,dobry
11,1700,4,238.78,'\'(42.8-55.2]\'',K,204,48,dobry
11,1373.34,1,200,'\'(-inf-30.4]\'',K,57,48,dobry
11,2837,0,662.69,'\'(-inf-30.4]\'',M,125,48,zly
12,1700,4,400,'\'(42.8-55.2]\'',K,53,48,dobry
13,578.75,0,200,'\'(55.2-67.6]\'',K,8,48,zly
13,1300,0,300,'\'(67.6-inf)\'',K,192,48,dobry
11,1800,0,300,'\'(55.2-67.6]\'',M,159,48,dobry
13,850,3,400,'\'(55.2-67.6]\'',K,66,48,dobry
17,1200,4,200,'\'(-inf-30.4]\'',K,164,48,dobry
13,1601.87,0,350,'\'(55.2-67.6]\'',M,44,48,dobry
11,1700,3,500,'\'(42.8-55.2]\'',K,304,48,dobry
11,1400,4,300,'\'(42.8-55.2]\'',K,24,48,dobry
13,910,4,200,'\'(55.2-67.6]\'',K,68,48,dobry
